Cava,Puntuació,id,Municipi,id_cava,Comarca,Província,Població
Roger Goulart,594.25,504,Sant Esteve Sesrovires,317,Baix Llobregat,Barcelona,7696
Can Quetu,591.97,399,Sant Sadurní d'Anoia,56,Alt Penedès,Barcelona,12841
Oriol Rossell,591.89,6619,Castellet i la Gornal,269,Alt Penedès,Barcelona,2382
Capdevila Pujol,588.2,99,Sant Sadurní d'Anoia,393,Alt Penedès,Barcelona,12841
Avinyó,583.73,68204,Avinyonet del Penedès,18,Alt Penedès,Barcelona,1697
Mestres,580.92,5242,Sant Sadurní d'Anoia,239,Alt Penedès,Barcelona,12841
Canals y Munné,578.92,142032,Sant Sadurní d'Anoia,61,Alt Penedès,Barcelona,12841
Conde de Caralt,578.37,69446,Torrelavit,91,Alt Penedès,Barcelona,1422
Baldús,575.44,515,Santa Fe del Penedès,22,Alt Penedès,Barcelona,367
Portell,574.15,98556,Sarral,293,Conca de Barberà,Tarragona,1538
Naveran,573.51,122,Torrelavit,260,Alt Penedès,Barcelona,1422
Castell d'Or,567.63,20180,Vila-Rodona,3353,Alt Camp,Tarragona,1276
Fonpinet,567.07,609,Sant Sadurní d'Anoia,134,Alt Penedès,Barcelona,12841
Privat,560.6,12020,Tiana,296,Maresme,Barcelona,8945
Jaume Giró i Giró,558.89,175532,Sant Sadurní d'Anoia,169,Alt Penedès,Barcelona,12841
Lavernoya,558.05,4208,Sant Sadurní d'Anoia,196,Alt Penedès,Barcelona,12841
Cabré & Sabaté - M,557.25,32368,Tabernes Blanques,3529,,València,9635
Agusti Torelló Roca - AT Roca,556.92,113321,SANT SADURNÍ D'ANOIA,6059,Alt Penedès,Barcelona,12841
Ventura Soler,555.79,4886,Sant Sadurní d'Anoia,364,Alt Penedès,Barcelona,12841
Rimarts,544.86,28933,Sant Sadurní d'Anoia,313,Alt Penedès,Barcelona,12841
Giró Ribot,541.48,129,Santa Fe del Penedès,150,Alt Penedès,Barcelona,367
Jané Ventura,540.34,150,El Vendrell,167,Baix Penedès,Tarragona,38373
Albet i Noya,538.26,106875,Subirats,5,Alt Penedès,Barcelona,3104
Rexach Baqués,537.72,122764,Font-Rubí,311,Alt Penedès,Barcelona,1414
Mascaró,537.24,957,Vilafranca del Penedès,231,Alt Penedès,Barcelona,40154
Celler de l'Avi,536.36,2707,Sant Sadurní d'Anoia,558,Alt Penedès,Barcelona,12841
Ferret,534.43,11031,Font-rubí,130,Alt Penedès,Barcelona,1414
Castellroig,532.94,53705,Subirats,77,Alt Penedès,Barcelona,3104
